FID,FNUMBER,FTRUENAME,FIDCARD,FIDTYPE,FSTATUS,FGENDER,FBIRTHDAY,FCREATETIME
34,EMP0034,张涛,310180199811192559,1,C,2,1992-11-02,2025-04-09
35,EMP0035,周杰,310198196112139455,1,C,2,1976-07-14,2023-08-30
36,EMP0036,徐军,310143195610267974,1,C,2,1990-06-24,2024-12-19
37,EMP0037,高涛,310177196711233877,1,C,2,1991-03-15,2023-11-06
38,EMP0038,张涛,310150195512116543,1,C,1,1998-02-24,2024-04-05
39,EMP0039,高洋,310189196010139881,1,C,2,1996-09-21,2023-12-05
40,EMP0040,赵平,310143198610152270,1,C,1,1980-07-24,2023-09-26
41,EMP0041,陈伟,310118195510199204,1,C,2,1993-04-10,2023-07-30
42,EMP0042,周艳,310152199910153556,1,C,1,1983-10-28,2024-05-21
43,EMP0043,张洋,310160199111184422,1,C,2,1994-11-13,2025-01-08
44,EMP0044,罗静,310156195012263583,1,C,2,1996-09-23,2025-03-09
45,EMP0045,吴丽,310162198711256551,1,C,2,1971-12-12,2025-06-09
46,EMP0046,陈秀英,310188198711171661,1,C,2,1972-07-11,2023-02-25
47,EMP0047,周芳,310127198012202003,1,C,2,1983-09-05,2023-02-22
48,EMP0048,黄杰,310195198110206144,1,C,1,1980-12-02,2025-03-01
49,EMP0049,赵强,310175198510284346,1,C,2,1981-09-26,2023-06-20
50,EMP0050,黄洋,310137199511223525,1,C,2,1979-09-22,2024-08-12
51,EMP0051,刘涛,310120198811215856,1,C,2,1970-10-21,2025-06-12
52,EMP0052,赵芳,310119195912279400,1,C,1,1970-11-10,2023-09-04
53,EMP0053,张平,310177196512108073,1,C,1,1978-05-04,2024-01-10
54,EMP0054,李勇,310162199312278770,1,C,1,1974-04-11,2023-05-03
55,EMP0055,吴伟,310186197710255225,1,C,1,1989-04-03,2024-11-26
56,EMP0056,刘超,310178197511238255,1,C,1,1979-10-22,2024-10-21
57,EMP0057,孙静,310126197212141837,1,C,1,1976-05-05,2024-11-19
58,EMP0058,罗艳,310151197411228623,1,C,2,1985-12-07,2025-07-18
59,EMP0059,徐洋,310117196510174067,1,C,2,1993-05-02,2024-07-02
60,EMP0060,陈军,310126197211147276,1,C,1,1981-02-13,2024-09-15
61,EMP0061,张芳,310119198310219863,1,C,2,1992-12-27,2024-01-01
62,EMP0062,王超,310190196211195219,1,C,2,1987-07-20,2024-04-12
63,EMP0063,王敏,310124197711238226,1,C,1,1994-02-05,2024-07-16
64,EMP0064,陈静,310131198710212692,1,C,1,1988-07-21,2024-10-02
65,EMP0065,何静,310139195211156157,1,C,2,1990-06-26,2023-07-10
66,EMP0066,朱艳,310143198311198284,1,C,2,1985-09-20,2023-04-11
67,EMP0067,吴伟,310197195810112741,1,C,1,1986-11-20,2024-11-17
68,EMP0068,罗芳,310110199010162252,1,C,2,1991-02-04,2024-06-17
69,EMP0069,胡超,310110196911203133,1,C,1,1983-05-21,2024-01-23
70,EMP0070,陈磊,310162197711136718,1,C,1,1991-08-11,2023-03-02
71,EMP0071,陈明,310178196810122538,1,C,1,1989-12-04,2025-06-23
72,EMP0072,胡静,310169196611279293,1,C,2,1977-06-12,2025-07-28
73,EMP0073,刘杰,310166197012244785,1,C,2,1971-12-07,2025-01-01
74,EMP0074,郭强,310145197810116099,1,C,1,1997-12-22,2025-07-15
75,EMP0075,张平,310146197312102332,1,C,2,1986-03-23,2023-12-07
76,EMP0076,郭磊,310151197112221496,1,C,1,1993-09-23,2024-12-15
77,EMP0077,吴涛,310155198510266297,1,C,1,1987-05-05,2024-05-31
78,EMP0078,黄霞,310186199110143120,1,C,1,1973-11-19,2023-08-09
79,EMP0079,黄涛,310137197412157602,1,C,1,1997-10-23,2024-09-30
80,EMP0080,王磊,310169197911131079,1,C,1,1970-09-11,2023-04-22
