node_id,node_type,name,number,id_card,gender,birthday,status,email,phone
USER_051,Person,刘涛,EMP0051,310120198811215856,2,1970/10/21,C,emp0051@opsline.cn,13762000051
USER_052,Person,赵芳,EMP0052,310119195912279400,1,1970/11/10,C,emp0052@hqmail.local,13662000052
USER_053,Person,张平,EMP0053,310177196512108073,1,1978/5/4,C,emp0053@cnbuild-mail.com,15862000053
USER_054,Person,李勇,EMP0054,310162199312278770,1,1974/4/11,C,emp0054@project.office.cn,15962000054
USER_055,Person,吴伟,EMP0055,310186197710255225,1,1989/4/3,C,emp0055@opsline.cn,17862000055
USER_056,Person,刘超,EMP0056,310178197511238255,1,1979/10/22,C,emp0056@hqmail.local,18862000056
USER_057,Person,孙静,EMP0057,310126197212141837,1,1976/5/5,C,emp0057@cnbuild-mail.com,13962000057
USER_058,Person,罗艳,EMP0058,310151197411228623,2,1985/12/7,C,emp0058@project.office.cn,13862000058
USER_059,Person,徐洋,EMP0059,310117196510174067,2,1993/5/2,C,emp0059@opsline.cn,13762000059
USER_060,Person,陈军,EMP0060,310126197211147276,1,1981/2/13,C,emp0060@hqmail.local,13662000060
USER_061,Person,张芳,EMP0061,310119198310219863,2,1992/12/27,C,emp0061@cnbuild-mail.com,15862000061
USER_062,Person,王超,EMP0062,310190196211195219,2,1987/7/20,C,emp0062@project.office.cn,15962000062
USER_063,Person,王敏,EMP0063,310124197711238226,1,1994/2/5,C,emp0063@opsline.cn,17862000063
USER_064,Person,陈静,EMP0064,310131198710212692,1,1988/7/21,C,emp0064@hqmail.local,18862000064
USER_065,Person,何静,EMP0065,310139195211156157,2,1990/6/26,C,emp0065@cnbuild-mail.com,13962000065
USER_066,Person,朱艳,EMP0066,310143198311198284,2,1985/9/20,C,emp0066@project.office.cn,13862000066
USER_067,Person,吴伟,EMP0067,310197195810112741,1,1986/11/20,C,emp0067@opsline.cn,13762000067
USER_068,Person,罗芳,EMP0068,310110199010162252,2,1991/2/4,C,emp0068@hqmail.local,13662000068
USER_069,Person,胡超,EMP0069,310110196911203133,1,1983/5/21,C,emp0069@cnbuild-mail.com,15862000069
USER_070,Person,陈磊,EMP0070,310162197711136718,1,1991/8/11,C,emp0070@project.office.cn,15962000070
USER_071,Person,陈明,EMP0071,310178196810122538,1,1989/12/4,C,emp0071@opsline.cn,17862000071
USER_072,Person,胡静,EMP0072,310169196611279293,2,1977/6/12,C,emp0072@hqmail.local,18862000072
USER_073,Person,刘杰,EMP0073,310166197012244785,2,1971/12/7,C,emp0073@cnbuild-mail.com,13962000073
USER_074,Person,郭强,EMP0074,310145197810116099,1,1997/12/22,C,emp0074@project.office.cn,13862000074
USER_075,Person,张平,EMP0075,310146197312102332,2,1986/3/23,C,emp0075@opsline.cn,13762000075
USER_076,Person,郭磊,EMP0076,310151197112221496,1,1993/9/23,C,emp0076@hqmail.local,13662000076
USER_077,Person,吴涛,EMP0077,310155198510266297,1,1987/5/5,C,emp0077@cnbuild-mail.com,15862000077
USER_078,Person,黄霞,EMP0078,310186199110143120,1,1973/11/19,C,emp0078@project.office.cn,15962000078
USER_079,Person,黄涛,EMP0079,310137197412157602,1,1997/10/23,C,emp0079@opsline.cn,17862000079
USER_080,Person,王磊,EMP0080,310169197911131079,1,1970/9/11,C,emp0080@hqmail.local,18862000080
USER_081,Person,顾伟华,LP0081,310101196501010111,1,1965/1/1,C,lp0081@cnbuild-mail.com,13963000000
USER_082,Person,吴小翔,LP0082,310101196602040118,2,1966/2/4,C,lp0082@project.office.cn,13863000001
USER_083,Person,王博,LP0083,310101196703070125,1,1967/3/7,C,lp0083@opsline.cn,13763000002
USER_084,Person,李大鹏,LP0084,310101196804100132,2,1968/4/10,C,lp0084@hqmail.local,13663000003
USER_085,Person,叶青,LP0085,310101196905130139,1,1969/5/13,C,lp0085@cnbuild-mail.com,15863000004
USER_086,Person,汤意,LP0086,310101197006160146,2,1970/6/16,C,lp0086@project.office.cn,15963000005
USER_087,Person,岑政平,LP0087,310101197107190153,1,1971/7/19,C,lp0087@opsline.cn,17863000006
USER_088,Person,张海波,LP0088,310101197208220160,2,1972/8/22,C,lp0088@hqmail.local,18863000007
USER_089,Person,查金荣,LP0089,310101197309250167,1,1973/9/25,C,lp0089@cnbuild-mail.com,13963000008
USER_090,Person,卜爱民,LP0090,310101197410010174,2,1974/10/1,C,lp0090@project.office.cn,13863000009
USER_091,Person,郑学选,LP0091,310101197511040181,1,1975/11/4,C,lp0091@opsline.cn,13763000010
USER_092,Person,戴和根,LP0092,310101197612070188,2,1976/12/7,C,lp0092@hqmail.local,13663000011
USER_093,Person,陈文健,LP0093,310101197701100195,1,1977/1/10,C,lp0093@cnbuild-mail.com,15863000012
USER_094,Person,宋海良,LP0094,310101197802130202,2,1978/2/13,C,lp0094@project.office.cn,15963000013
USER_095,Person,陈建光,LP0095,310101197903160209,1,1979/3/16,C,lp0095@opsline.cn,17863000014
USER_096,Person,丁焰章,LP0096,310101198004190216,2,1980/4/19,C,lp0096@hqmail.local,18863000015
USER_097,Person,倪真(代),LP0097,310101198105220223,1,1981/5/22,C,lp0097@cnbuild-mail.com,13963000016
USER_098,Person,莫鼎革,LP0098,310101198206250230,2,1982/6/25,C,lp0098@project.office.cn,13863000017
USER_099,Person,周孝棠,LP0099,310101198307010237,1,1983/7/1,C,lp0099@opsline.cn,13763000018
USER_100,Person,孙永才,LP0100,310101198408040244,2,1984/8/4,C,lp0100@hqmail.local,13663000019
USER_101,Person,黄力平,LP0101,310101198509070251,1,1985/9/7,C,lp0101@cnbuild-mail.com,15863000020
USER_102,Person,刘平,LP0102,310101198610100258,2,1986/10/10,C,lp0102@project.office.cn,15963000021
USER_103,Person,朱文凯,LP0103,310101198711130265,1,1987/11/13,C,lp0103@opsline.cn,17863000022
USER_104,Person,吴秉琪,LP0104,310101198812160272,2,1988/12/16,C,lp0104@hqmail.local,18863000023
USER_105,Person,张玉良,LP0105,310101198901190279,1,1989/1/19,C,lp0105@cnbuild-mail.com,13963000024
USER_106,Person,徐家俊,LP0106,310101196502220286,2,1965/2/22,C,lp0106@project.office.cn,13863000025
USER_107,Person,郭凌勇,LP0107,310101196603250293,1,1966/3/25,C,lp0107@opsline.cn,13763000026
USER_108,Person,齐占峰,LP0108,310101196704010300,2,1967/4/1,C,lp0108@hqmail.local,13663000027
USER_109,Person,林俊波,LP0109,310101196805040307,1,1968/5/4,C,lp0109@cnbuild-mail.com,15863000028
USER_110,Person,李向东,LP0110,310101196906070314,2,1969/6/7,C,lp0110@project.office.cn,15963000029
USER_111,Person,王文学,LP0111,310101197007100321,1,1970/7/10,C,lp0111@opsline.cn,17863000030
USER_112,Person,张洪力,LP0112,310101197108130328,2,1971/8/13,C,lp0112@hqmail.local,18863000031
USER_113,Person,郭伟,LP0113,310101197209160335,1,1972/9/16,C,lp0113@cnbuild-mail.com,13963000032
USER_114,Person,杨扬,LP0114,310101197310190342,2,1973/10/19,C,lp0114@project.office.cn,13863000033
USER_115,Person,李岩,LP0115,310101197411220349,1,1974/11/22,C,lp0115@opsline.cn,13763000034
USER_116,Person,江劲松,LP0116,310101197512250356,2,1975/12/25,C,lp0116@hqmail.local,13663000035
USER_117,Person,徐而进,LP0117,310101197601010363,1,1976/1/1,C,lp0117@cnbuild-mail.com,15863000036
USER_118,Person,张桂平,LP0118,310101197702040370,2,1977/2/4,C,lp0118@project.office.cn,15963000037
USER_119,Person,钱劲舟(代),LP0119,310101197803070377,1,1978/3/7,C,lp0119@opsline.cn,17863000038
USER_120,Person,赵长龙,LP0120,310101197904100384,2,1979/4/10,C,lp0120@hqmail.local,18863000039
USER_121,Person,章维成,LP0121,310101198005130391,1,1980/5/13,C,lp0121@cnbuild-mail.com,13963000040
USER_122,Person,佟庆远,LP0122,310101198106160398,2,1981/6/16,C,lp0122@project.office.cn,13863000041
USER_123,Person,张智刚,LP0123,310101198207190405,1,1982/7/19,C,lp0123@opsline.cn,13763000042
USER_124,Person,乔发栋,LP0124,310101198308220412,2,1983/8/22,C,lp0124@hqmail.local,13663000043
USER_125,Person,王奔,LP0125,310101198409250419,1,1984/9/25,C,lp0125@cnbuild-mail.com,15863000044
USER_126,Person,李俊涛,LP0126,310101198510010426,2,1985/10/1,C,lp0126@project.office.cn,15963000045
USER_127,Person,戴厚良,LP0127,310101198611040433,1,1986/11/4,C,lp0127@opsline.cn,17863000046
USER_128,Person,白雪峰,LP0128,310101198712070440,2,1987/12/7,C,lp0128@hqmail.local,18863000047
USER_129,Person,何放,LP0129,310101198801100447,1,1988/1/10,C,lp0129@cnbuild-mail.com,13963000048
USER_130,Person,李东林,LP0130,310101198902130454,2,1989/2/13,C,lp0130@project.office.cn,13863000049
USER_131,Person,彭华文,LP0131,310101196503160461,1,1965/3/16,C,lp0131@opsline.cn,13763000050
USER_132,Person,刘国跃,LP0132,310101196604190468,2,1966/4/19,C,lp0132@hqmail.local,13663000051
USER_133,Person,吕志韧,LP0133,310101196705220475,1,1967/5/22,C,lp0133@cnbuild-mail.com,15863000052
USER_134,Person,唐坚,LP0134,310101196806250482,2,1968/6/25,C,lp0134@project.office.cn,15963000053
USER_135,Person,宫宇飞,LP0135,310101196907010489,1,1969/7/1,C,lp0135@opsline.cn,17863000054
USER_136,Person,邹继新,LP0136,310101197008040496,2,1970/8/4,C,lp0136@hqmail.local,18863000055
USER_137,Person,何文建,LP0137,310101197109070503,1,1971/9/7,C,lp0137@cnbuild-mail.com,13963000056
USER_138,Person,邹来昌,LP0138,310101197210100510,2,1972/10/10,C,lp0138@project.office.cn,13863000057
USER_139,Person,郑高清,LP0139,310101197311130517,1,1973/11/13,C,lp0139@opsline.cn,13763000058
USER_140,Person,刘培勋,LP0140,310101197412160524,2,1974/12/16,C,lp0140@hqmail.local,13663000059
USER_141,Person,杨军,LP0141,310101197501190531,1,1975/1/19,C,lp0141@cnbuild-mail.com,15863000060
USER_142,Person,赵新军,LP0142,310101197602220538,2,1976/2/22,C,lp0142@project.office.cn,15963000061
USER_143,Person,印志松,LP0143,310101197703250545,1,1977/3/25,C,lp0143@opsline.cn,17863000062
USER_144,Person,刘宇,LP0144,310101197804010552,2,1978/4/1,C,lp0144@hqmail.local,18863000063
USER_145,Person,刘燕,LP0145,310101197905040559,1,1979/5/4,C,lp0145@cnbuild-mail.com,13963000064
USER_146,Person,张新,LP0146,310101198006070566,2,1980/6/7,C,lp0146@project.office.cn,13863000065
USER_147,Person,由瑞凯,LP0147,310101198107100573,1,1981/7/10,C,lp0147@opsline.cn,13763000066
USER_148,Person,杨东升,LP0148,310101198208130580,2,1982/8/13,C,lp0148@hqmail.local,13663000067
USER_149,Person,詹纯新,LP0149,310101198309160587,1,1983/9/16,C,lp0149@cnbuild-mail.com,15863000068
USER_150,Person,向文波,LP0150,310101198410190594,2,1984/10/19,C,lp0150@project.office.cn,15963000069
USER_151,Person,吴磊,LP0151,310101198511220601,1,1985/11/22,C,lp0151@opsline.cn,17863000070
USER_152,Person,罗乾宜,LP0152,310101198612250608,2,1986/12/25,C,lp0152@hqmail.local,18863000071
USER_153,Person,郑宗强,LP0153,310101198701010615,1,1987/1/1,C,lp0153@cnbuild-mail.com,13963000072
USER_154,Person,张威,LP0154,310101198802040622,2,1988/2/4,C,lp0154@project.office.cn,13863000073
USER_155,Person,刘建锋,LP0155,310101198903070629,1,1989/3/7,C,lp0155@opsline.cn,13763000074
USER_156,Person,杨浩成,LP0156,310101196504100636,2,1965/4/10,C,lp0156@hqmail.local,13663000075
USER_157,Person,袁正刚,LP0157,310101196605130643,1,1966/5/13,C,lp0157@cnbuild-mail.com,15863000076
USER_158,Person,张新宏,LP0158,310101196706160650,2,1967/6/16,C,lp0158@project.office.cn,15963000077
USER_159,Person,李郑周,LP0159,310101196807190657,1,1968/7/19,C,lp0159@opsline.cn,17863000078
USER_160,Person,高兴江,LP0160,310101196908220664,2,1969/8/22,C,lp0160@hqmail.local,18863000079
USER_161,Person,管理,LP0161,310101197009250671,1,1970/9/25,C,lp0161@cnbuild-mail.com,13963000080
USER_162,Person,刘梅萱,LP0162,310101197110010678,2,1971/10/1,C,lp0162@project.office.cn,13863000081
USER_163,Person,曹晖,LP0163,310101197211040685,1,1972/11/4,C,lp0163@opsline.cn,13763000082
USER_164,Person,杨立明,LP0164,310101197312070692,2,1973/12/7,C,lp0164@hqmail.local,13663000083
USER_165,Person,廖增太,LP0165,310101197401100699,1,1974/1/10,C,lp0165@cnbuild-mail.com,15863000084
