fid,feid,ftid,fuid,fopenid,fnumber,fphone,femail,fstatus,fgender,fbirthday,fidcard,favatar,fusertype,fnickname,ffullpinyin,fsimplepinyin,fdptid,fpositionid,fsortcode,fbillssatusfield,fhiredate,fenable,fcreatorid,fcreatetime,fmodifierid,fmodifytime,fdisablerid,fdisabledate,fsource,fmaintain,fstartdate,fenddate,fmasterid,fheadsculpture,ftruename,fcountryid,fsortnumber,fidtype,fns_country,fns_namestyle,fns_firstname,fns_middlename,fns_lastname,fns_title,fns_abbr,fns_nickname,fns_posttitle,fns_customfield1,fns_customfield2,fns_customfield3,fns_customfield4
20,,,,,EMP0020,,,C,2,1989-07-08,310182195710266621,,,,,,,,,,,,,2025-07-12,,,,,,,,,,,何丽,,,1,0,,,,,,,,,,,,
21,,,,,EMP0021,,,C,2,1987-02-23,310113197510268776,,,,,,,,,,,,,2024-01-17,,,,,,,,,,,刘军,,,1,0,,,,,,,,,,,,
22,,,,,EMP0022,,,C,1,1992-09-19,310136195810237567,,,,,,,,,,,,,2024-12-15,,,,,,,,,,,赵明,,,1,0,,,,,,,,,,,,
23,,,,,EMP0023,,,C,1,1975-10-02,310192195511132985,,,,,,,,,,,,,2023-10-10,,,,,,,,,,,周涛,,,1,0,,,,,,,,,,,,
24,,,,,EMP0024,,,C,2,1977-09-21,310148196212241034,,,,,,,,,,,,,2024-12-10,,,,,,,,,,,赵军,,,1,0,,,,,,,,,,,,
25,,,,,EMP0025,,,C,1,1976-01-09,310116197511157553,,,,,,,,,,,,,2024-01-18,,,,,,,,,,,李秀英,,,1,0,,,,,,,,,,,,
26,,,,,EMP0026,,,C,2,1991-10-07,310138195610201067,,,,,,,,,,,,,2025-01-17,,,,,,,,,,,徐杰,,,1,0,,,,,,,,,,,,
27,,,,,EMP0027,,,C,1,1979-11-17,310144199610237566,,,,,,,,,,,,,2023-09-06,,,,,,,,,,,赵军,,,1,0,,,,,,,,,,,,
28,,,,,EMP0028,,,C,1,1978-07-26,310122195711273060,,,,,,,,,,,,,2025-04-16,,,,,,,,,,,杨静,,,1,0,,,,,,,,,,,,
29,,,,,EMP0029,,,C,1,1974-09-05,310153197610285897,,,,,,,,,,,,,2023-09-09,,,,,,,,,,,郭娜,,,1,0,,,,,,,,,,,,
30,,,,,EMP0030,,,C,1,1991-12-10,310196200010117388,,,,,,,,,,,,,2023-11-12,,,,,,,,,,,郭丽,,,1,0,,,,,,,,,,,,
31,,,,,EMP0031,,,C,1,1997-12-17,310137196211267607,,,,,,,,,,,,,2023-06-28,,,,,,,,,,,陈伟,,,1,0,,,,,,,,,,,,
32,,,,,EMP0032,,,C,1,1999-02-19,310182198212243287,,,,,,,,,,,,,2024-09-17,,,,,,,,,,,黄秀英,,,1,0,,,,,,,,,,,,
33,,,,,EMP0033,,,C,2,1989-11-06,310128199912116582,,,,,,,,,,,,,2024-04-24,,,,,,,,,,,张明,,,1,0,,,,,,,,,,,,
34,,,,,EMP0034,,,C,2,1992-11-02,310180199811192559,,,,,,,,,,,,,2025-04-09,,,,,,,,,,,张涛,,,1,0,,,,,,,,,,,,
35,,,,,EMP0035,,,C,2,1976-07-14,310198196112139455,,,,,,,,,,,,,2023-08-30,,,,,,,,,,,周杰,,,1,0,,,,,,,,,,,,
36,,,,,EMP0036,,,C,2,1990-06-24,310143195610267974,,,,,,,,,,,,,2024-12-19,,,,,,,,,,,徐军,,,1,0,,,,,,,,,,,,
37,,,,,EMP0037,,,C,2,1991-03-15,310177196711233877,,,,,,,,,,,,,2023-11-06,,,,,,,,,,,高涛,,,1,0,,,,,,,,,,,,
38,,,,,EMP0038,,,C,1,1998-02-24,310150195512116543,,,,,,,,,,,,,2024-04-05,,,,,,,,,,,张涛,,,1,0,,,,,,,,,,,,
39,,,,,EMP0039,,,C,2,1996-09-21,310189196010139881,,,,,,,,,,,,,2023-12-05,,,,,,,,,,,高洋,,,1,0,,,,,,,,,,,,
40,,,,,EMP0040,,,C,1,1980-07-24,310143198610152270,,,,,,,,,,,,,2023-09-26,,,,,,,,,,,赵平,,,1,0,,,,,,,,,,,,
41,,,,,EMP0041,,,C,2,1993-04-10,310118195510199204,,,,,,,,,,,,,2023-07-30,,,,,,,,,,,陈伟,,,1,0,,,,,,,,,,,,
42,,,,,EMP0042,,,C,1,1983-10-28,310152199910153556,,,,,,,,,,,,,2024-05-21,,,,,,,,,,,周艳,,,1,0,,,,,,,,,,,,
43,,,,,EMP0043,,,C,2,1994-11-13,310160199111184422,,,,,,,,,,,,,2025-01-08,,,,,,,,,,,张洋,,,1,0,,,,,,,,,,,,
44,,,,,EMP0044,,,C,2,1996-09-23,310156195012263583,,,,,,,,,,,,,2025-03-09,,,,,,,,,,,罗静,,,1,0,,,,,,,,,,,,
45,,,,,EMP0045,,,C,2,1971-12-12,310162198711256551,,,,,,,,,,,,,2025-06-09,,,,,,,,,,,吴丽,,,1,0,,,,,,,,,,,,
46,,,,,EMP0046,,,C,2,1972-07-11,310188198711171661,,,,,,,,,,,,,2023-02-25,,,,,,,,,,,陈秀英,,,1,0,,,,,,,,,,,,
47,,,,,EMP0047,,,C,2,1983-09-05,310127198012202003,,,,,,,,,,,,,2023-02-22,,,,,,,,,,,周芳,,,1,0,,,,,,,,,,,,
48,,,,,EMP0048,,,C,1,1980-12-02,310195198110206144,,,,,,,,,,,,,2025-03-01,,,,,,,,,,,黄杰,,,1,0,,,,,,,,,,,,
49,,,,,EMP0049,,,C,2,1981-09-26,310175198510284346,,,,,,,,,,,,,2023-06-20,,,,,,,,,,,赵强,,,1,0,,,,,,,,,,,,
50,,,,,EMP0050,,,C,2,1979-09-22,310137199511223525,,,,,,,,,,,,,2024-08-12,,,,,,,,,,,黄洋,,,1,0,,,,,,,,,,,,
51,,,,,EMP0051,,,C,2,1970-10-21,310120198811215856,,,,,,,,,,,,,2025-06-12,,,,,,,,,,,刘涛,,,1,0,,,,,,,,,,,,
52,,,,,EMP0052,,,C,1,1970-11-10,310119195912279400,,,,,,,,,,,,,2023-09-04,,,,,,,,,,,赵芳,,,1,0,,,,,,,,,,,,
53,,,,,EMP0053,,,C,1,1978-05-04,310177196512108073,,,,,,,,,,,,,2024-01-10,,,,,,,,,,,张平,,,1,0,,,,,,,,,,,,
54,,,,,EMP0054,,,C,1,1974-04-11,310162199312278770,,,,,,,,,,,,,2023-05-03,,,,,,,,,,,李勇,,,1,0,,,,,,,,,,,,
55,,,,,EMP0055,,,C,1,1989-04-03,310186197710255225,,,,,,,,,,,,,2024-11-26,,,,,,,,,,,吴伟,,,1,0,,,,,,,,,,,,
56,,,,,EMP0056,,,C,1,1979-10-22,310178197511238255,,,,,,,,,,,,,2024-10-21,,,,,,,,,,,刘超,,,1,0,,,,,,,,,,,,
57,,,,,EMP0057,,,C,1,1976-05-05,310126197212141837,,,,,,,,,,,,,2024-11-19,,,,,,,,,,,孙静,,,1,0,,,,,,,,,,,,
58,,,,,EMP0058,,,C,2,1985-12-07,310151197411228623,,,,,,,,,,,,,2025-07-18,,,,,,,,,,,罗艳,,,1,0,,,,,,,,,,,,
59,,,,,EMP0059,,,C,2,1993-05-02,310117196510174067,,,,,,,,,,,,,2024-07-02,,,,,,,,,,,徐洋,,,1,0,,,,,,,,,,,,
60,,,,,EMP0060,,,C,1,1981-02-13,310126197211147276,,,,,,,,,,,,,2024-09-15,,,,,,,,,,,陈军,,,1,0,,,,,,,,,,,,
61,,,,,EMP0061,,,C,2,1992-12-27,310119198310219863,,,,,,,,,,,,,2024-01-01,,,,,,,,,,,张芳,,,1,0,,,,,,,,,,,,
62,,,,,EMP0062,,,C,2,1987-07-20,310190196211195219,,,,,,,,,,,,,2024-04-12,,,,,,,,,,,王超,,,1,0,,,,,,,,,,,,
63,,,,,EMP0063,,,C,1,1994-02-05,310124197711238226,,,,,,,,,,,,,2024-07-16,,,,,,,,,,,王敏,,,1,0,,,,,,,,,,,,
64,,,,,EMP0064,,,C,1,1988-07-21,310131198710212692,,,,,,,,,,,,,2024-10-02,,,,,,,,,,,陈静,,,1,0,,,,,,,,,,,,
65,,,,,EMP0065,,,C,2,1990-06-26,310139195211156157,,,,,,,,,,,,,2023-07-10,,,,,,,,,,,何静,,,1,0,,,,,,,,,,,,
66,,,,,EMP0066,,,C,2,1985-09-20,310143198311198284,,,,,,,,,,,,,2023-04-11,,,,,,,,,,,朱艳,,,1,0,,,,,,,,,,,,
67,,,,,EMP0067,,,C,1,1986-11-20,310197195810112741,,,,,,,,,,,,,2024-11-17,,,,,,,,,,,吴伟,,,1,0,,,,,,,,,,,,
68,,,,,EMP0068,,,C,2,1991-02-04,310110199010162252,,,,,,,,,,,,,2024-06-17,,,,,,,,,,,罗芳,,,1,0,,,,,,,,,,,,
69,,,,,EMP0069,,,C,1,1983-05-21,310110196911203133,,,,,,,,,,,,,2024-01-23,,,,,,,,,,,胡超,,,1,0,,,,,,,,,,,,
70,,,,,EMP0070,,,C,1,1991-08-11,310162197711136718,,,,,,,,,,,,,2023-03-02,,,,,,,,,,,陈磊,,,1,0,,,,,,,,,,,,
71,,,,,EMP0071,,,C,1,1989-12-04,310178196810122538,,,,,,,,,,,,,2025-06-23,,,,,,,,,,,陈明,,,1,0,,,,,,,,,,,,
72,,,,,EMP0072,,,C,2,1977-06-12,310169196611279293,,,,,,,,,,,,,2025-07-28,,,,,,,,,,,胡静,,,1,0,,,,,,,,,,,,
73,,,,,EMP0073,,,C,2,1971-12-07,310166197012244785,,,,,,,,,,,,,2025-01-01,,,,,,,,,,,刘杰,,,1,0,,,,,,,,,,,,
74,,,,,EMP0074,,,C,1,1997-12-22,310145197810116099,,,,,,,,,,,,,2025-07-15,,,,,,,,,,,郭强,,,1,0,,,,,,,,,,,,
75,,,,,EMP0075,,,C,2,1986-03-23,310146197312102332,,,,,,,,,,,,,2023-12-07,,,,,,,,,,,张平,,,1,0,,,,,,,,,,,,
76,,,,,EMP0076,,,C,1,1993-09-23,310151197112221496,,,,,,,,,,,,,2024-12-15,,,,,,,,,,,郭磊,,,1,0,,,,,,,,,,,,
77,,,,,EMP0077,,,C,1,1987-05-05,310155198510266297,,,,,,,,,,,,,2024-05-31,,,,,,,,,,,吴涛,,,1,0,,,,,,,,,,,,
78,,,,,EMP0078,,,C,1,1973-11-19,310186199110143120,,,,,,,,,,,,,2023-08-09,,,,,,,,,,,黄霞,,,1,0,,,,,,,,,,,,
79,,,,,EMP0079,,,C,1,1997-10-23,310137197412157602,,,,,,,,,,,,,2024-09-30,,,,,,,,,,,黄涛,,,1,0,,,,,,,,,,,,
80,,,,,EMP0080,,,C,1,1970-09-11,310169197911131079,,,,,,,,,,,,,2023-04-22,,,,,,,,,,,王磊,,,1,0,,,,,,,,,,,,
